,household_key,revenue,recency,frequency,recency_cluster,frequency_cluster,revenue_cluster,rfm_score,segment,received_campA_18,redeemed_campA_18,GROCERY_spend,DELI_spend,PRODUCE_spend,KIOSK-GAS_spend,DRUG GM_spend,MEAT_spend
49,1865,392.93000000000006,5,11,3,1,1,5,Mid-value,1,0,215.93999999999997,15.97,29.86,,61.08000000000001,19.21
50,409,390.80000000000007,1,14,3,1,1,5,Mid-value,0,0,219.26000000000002,,13.230000000000002,103.66999999999999,22.72,9.31
51,2345,550.0800000000005,0,11,3,1,1,5,Mid-value,0,0,319.6100000000001,12.26,13.07,,57.5,98.39
52,2168,534.6000000000004,0,16,3,1,1,5,Mid-value,1,1,260.21999999999986,2.99,48.43,,39.290000000000006,64.36999999999999
53,319,311.8200000000001,3,10,3,1,1,5,Mid-value,1,0,119.19999999999997,3.63,31.809999999999995,73.97999999999999,4.74,50.0
54,1873,519.1500000000001,1,19,3,1,1,5,Mid-value,1,0,95.35000000000001,3.52,15.51,115.51,146.51999999999992,18.57
55,1297,521.6900000000003,1,21,3,1,1,5,Mid-value,0,0,206.77000000000004,,135.32999999999998,87.36,54.8,3.59
56,1391,551.1600000000002,0,14,3,1,1,5,Mid-value,1,0,225.15,6.84,23.720000000000002,162.95,54.10000000000001,23.290000000000003
57,239,450.7200000000002,0,20,3,1,1,5,Mid-value,1,1,262.53,10.75,31.699999999999992,,49.51000000000001,28.41
58,1222,281.30000000000007,1,11,3,1,1,5,Mid-value,1,0,121.25,9.43,8.02,,99.77999999999997,16.400000000000002
59,1291,410.47000000000014,1,11,3,1,1,5,Mid-value,1,0,277.38999999999993,8.98,35.7,,23.53,45.02
60,2075,405.1200000000001,3,14,3,1,1,5,Mid-value,1,0,162.73999999999992,,11.59,,161.31000000000003,11.93
61,1612,493.27000000000015,1,10,3,1,1,5,Mid-value,0,0,232.01,26.35,14.13,113.10000000000001,54.900000000000006,14.96
62,670,464.1700000000002,6,14,3,1,1,5,Mid-value,0,0,232.57000000000002,41.95000000000001,27.619999999999994,64.62,54.39,11.82
63,1133,269.88000000000005,0,18,3,1,1,5,Mid-value,1,0,94.99,1.5,67.57,,15.53,20.05
64,483,304.32000000000005,0,12,3,1,1,5,Mid-value,1,0,153.44000000000003,36.93000000000001,2.0,,84.33000000000001,11.64
65,2445,389.25000000000006,1,14,3,1,1,5,Mid-value,1,0,247.46999999999994,20.38,4.48,41.2,55.56000000000001,3.66
66,1300,521.8400000000001,2,12,3,1,1,5,Mid-value,0,0,216.42999999999995,25.22,28.0,63.370000000000005,128.04999999999998,17.02
67,484,486.90000000000015,1,17,3,1,1,5,Mid-value,1,1,331.11,,15.7,,58.45000000000002,7.6
68,193,428.3000000000001,0,12,3,1,1,5,Mid-value,1,0,151.49999999999997,69.97,,73.59,36.07,26.439999999999998
69,1622,523.4700000000006,2,10,3,1,1,5,Mid-value,0,0,321.3500000000001,3.98,39.74999999999999,15.0,45.35000000000001,
70,1651,417.6600000000001,0,12,3,1,1,5,Mid-value,1,1,144.79999999999995,17.96,44.02,,163.85000000000002,13.21
71,1548,381.6600000000001,1,12,3,1,1,5,Mid-value,1,0,290.5299999999999,4.99,27.39,,22.349999999999998,27.91
72,374,530.7300000000001,3,16,3,1,1,5,Mid-value,1,0,226.09999999999997,22.560000000000002,85.3,30.0,138.13999999999996,10.08
73,562,292.19000000000017,1,10,3,1,1,5,Mid-value,1,0,154.94,,36.24,,66.18,3.98
74,1914,402.5800000000001,1,16,3,1,1,5,Mid-value,1,0,206.00000000000006,,13.629999999999999,,174.82,8.13
75,1070,487.55000000000024,1,12,3,1,1,5,Mid-value,1,0,129.62999999999997,2.64,34.57,155.59,101.07,13.66
76,755,573.0000000000001,2,13,3,1,1,5,Mid-value,1,1,93.27999999999999,12.86,9.94,398.65999999999997,42.6,
77,65,255.91,4,18,3,1,1,5,Mid-value,1,0,112.73,4.36,3.89,,122.25999999999998,3.68
78,1151,261.47999999999996,0,20,3,1,1,5,Mid-value,1,0,180.88999999999993,3.96,,,43.74,15.900000000000002
79,2420,568.68,1,10,3,1,1,5,Mid-value,1,0,310.53,,35.239999999999995,26.0,,138.04
80,602,498.7600000000003,2,11,3,1,1,5,Mid-value,0,0,252.79999999999998,,12.950000000000001,58.58,59.57,
81,2452,443.0600000000003,2,17,3,1,1,5,Mid-value,1,0,161.12000000000003,,22.970000000000002,,200.37000000000003,28.810000000000002
82,1754,329.7600000000001,2,19,3,1,1,5,Mid-value,1,0,176.67999999999998,,11.97,50.0,5.46,56.160000000000004
83,1164,431.50000000000017,5,11,3,1,1,5,Mid-value,1,0,210.46000000000004,2.5,49.6,,100.39,
84,1246,434.1300000000003,1,14,3,1,1,5,Mid-value,0,0,210.75,25.3,24.42,67.75999999999999,58.67,
85,1178,438.1300000000002,5,22,3,1,1,5,Mid-value,1,0,197.63999999999996,12.09,27.030000000000005,30.89,26.51,13.07
86,922,512.0100000000001,0,22,3,1,1,5,Mid-value,0,0,231.47,9.94,53.71,46.019999999999996,85.46,14.43
87,1097,532.5300000000001,2,15,3,1,1,5,Mid-value,1,0,175.27,34.28,42.32000000000001,20.0,20.53,71.62
88,2486,362.1699999999999,1,17,3,1,1,5,Mid-value,1,0,201.1999999999999,,11.06,15.0,39.53,60.230000000000004
89,1956,529.1900000000003,1,14,3,1,1,5,Mid-value,0,0,287.01000000000005,61.34,9.73,,108.58999999999999,10.22
90,2405,308.11000000000007,1,13,3,1,1,5,Mid-value,1,0,127.80999999999999,,12.370000000000001,100.01,4.37,20.93
91,97,583.65,2,18,3,1,1,5,Mid-value,0,0,284.97,3.95,17.720000000000002,146.52,48.8,59.690000000000005
92,1205,364.7499999999997,3,18,3,1,1,5,Mid-value,0,0,197.05000000000007,18.290000000000003,7.76,10.0,86.89999999999999,12.610000000000001
93,715,385.6400000000001,0,21,3,1,1,5,Mid-value,1,1,185.01999999999992,34.089999999999996,2.24,,63.63,73.19000000000001
94,1849,350.03000000000014,5,14,3,1,1,5,Mid-value,1,0,153.15,63.15,1.98,,22.150000000000002,33.739999999999995
95,2341,282.22,6,19,3,1,1,5,Mid-value,1,0,124.22000000000008,,8.459999999999999,84.0,26.66,15.32
96,1747,298.72,0,11,3,1,1,5,Mid-value,0,0,143.39,9.68,12.96,60.010000000000005,11.96,21.78
97,1350,403.4699999999998,1,11,3,1,1,5,Mid-value,0,0,245.2999999999999,4.36,23.47,,4.22,62.93
98,989,392.26000000000016,3,10,3,1,1,5,Mid-value,1,0,200.26999999999992,30.290000000000003,27.880000000000003,,67.38000000000001,50.99
99,1299,503.29000000000036,1,17,3,1,1,5,Mid-value,1,0,284.05999999999995,,38.24,48.010000000000005,79.57000000000001,32.59
100,2076,432.20000000000016,0,16,3,1,1,5,Mid-value,1,0,203.90999999999985,7.99,72.58,63.56,15.65,29.06
101,1806,262.96999999999997,0,13,3,1,1,5,Mid-value,0,0,148.95000000000002,8.76,7.67,,1.0,22.43
102,192,297.01000000000005,2,10,3,1,1,5,Mid-value,1,1,208.52999999999992,,5.58,,23.580000000000002,16.82
103,324,377.2800000000001,6,11,3,1,1,5,Mid-value,0,0,178.10999999999996,,45.35,109.30999999999999,11.360000000000001,
