household_key,received_campaign,redeemed_coupons,total_campaigns_received,TypeA,TypeB,TypeC,total_campaigns_engaged,total_coupons_received,total_coupons_redeemed,camp_conversion_rate,coupon_conversion_rate,revenue,recency,frequency,GROCERY_spend,DELI_spend,PRODUCE_spend,KIOSK-GAS_spend,DRUG GM_spend,NUTRITION_spend,SALAD BAR_spend,MEAT_spend,recency_cluster,frequency_cluster,revenue_cluster,rfm_score,segment,age_desc,marital_status_code,income_desc,homeowner_desc,hh_comp_desc,household_size_desc,kid_category_desc
2084,1,1,3.0,3.0,0.0,0.0,2.0,48.0,2.0,0.67,0.04,2937.9499999999985,6,132,1274.1000000000004,63.239999999999995,226.91,79.1,309.07000000000005,94.03,0.0,83.85000000000001,3,1,1,5,Mid-value,55-64,A,125-149K,Homeowner,2 Adults No Kids,2,None/Unknown
2085,1,1,8.0,3.0,3.0,2.0,8.0,143.0,8.0,1.0,0.06,12894.569999999927,0,359,5743.399999999966,792.13,768.1600000000007,1202.0100000000002,1723.6600000000024,36.97,63.91000000000001,856.7800000000001,3,2,3,8,High-value,35-44,A,35-49K,Homeowner,2 Adults No Kids,2,None/Unknown
2086,1,0,6.0,2.0,4.0,0.0,0.0,96.0,0.0,0.0,0.0,6269.539999999932,1,575,3036.189999999994,146.63,869.9800000000008,78.09,782.9000000000002,83.25999999999999,15.79,332.70999999999987,3,2,2,7,High-value,45-54,A,25-34K,Homeowner,2 Adults No Kids,2,None/Unknown
2087,1,1,7.0,3.0,4.0,0.0,6.0,119.0,6.0,0.86,0.05,7832.739999999921,7,227,3845.1299999999787,61.92000000000001,721.9100000000007,1201.6,820.4300000000007,13.15,0.0,355.44000000000005,3,1,2,6,Mid-value,45-54,B,100-124K,Homeowner,Unknown,1,None/Unknown
2088,1,1,10.0,5.0,4.0,1.0,2.0,148.0,2.0,0.2,0.01,4905.7099999999755,0,109,3078.1499999999974,252.2,366.3700000000003,0.0,405.97,6.98,9.03,450.7300000000001,3,1,1,5,Mid-value,25-34,U,35-49K,Unknown,Single Female,1,None/Unknown
2089,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,159.9599999999999,17,34,155.5799999999999,0.0,0.0,0.0,4.38,0.0,0.0,0.0,3,0,0,3,Low-value,,,,,,,
2090,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1201.0300000000007,14,56,656.0600000000007,10.45,23.59,69.52,157.10000000000002,29.25,0.0,68.82000000000001,3,0,0,3,Low-value,,,,,,,
2091,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,834.5600000000004,19,15,485.44000000000017,106.94999999999997,58.92,0.0,41.22,17.46,3.26,37.440000000000005,3,0,0,3,Low-value,,,,,,,
2092,1,0,3.0,3.0,0.0,0.0,0.0,48.0,0.0,0.0,0.0,2290.539999999999,152,122,1107.5500000000004,47.03000000000001,64.53999999999999,408.07,330.2400000000001,0.0,4.64,120.49000000000001,2,1,0,3,Low-value,35-44,A,Under 15K,Homeowner,1 Adult Kids,3,1
2093,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,490.97999999999996,50,19,175.84,4.99,6.53,171.01999999999998,52.49000000000001,2.99,0.0,40.269999999999996,2,0,0,2,Low-value,,,,,,,
2094,1,1,2.0,1.0,1.0,0.0,3.0,18.0,3.0,1.5,0.17,3055.5199999999923,3,75,1614.3600000000026,57.300000000000004,299.92,0.0,179.5400000000001,32.22,3.42,564.11,3,0,1,4,Mid-value,45-54,A,50-74K,Homeowner,2 Adults No Kids,2,None/Unknown
2095,1,0,9.0,4.0,4.0,1.0,0.0,142.0,0.0,0.0,0.0,3790.489999999991,0,164,1760.7200000000041,110.36000000000001,128.16,354.0,846.0899999999992,4.09,72.15,218.6799999999999,3,1,1,5,Mid-value,,,,,,,
2096,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1301.6500000000026,120,26,602.5899999999998,0.0,69.68,0.0,91.14999999999998,0.0,0.0,260.09999999999997,2,0,0,2,Low-value,,,,,,,
2097,1,0,6.0,4.0,2.0,0.0,0.0,110.0,0.0,0.0,0.0,8823.829999999938,66,202,4179.949999999992,46.81,377.3600000000002,1968.95,250.96,10.0,3.67,725.3000000000002,2,1,2,5,Mid-value,35-44,A,15-24K,Homeowner,2 Adults Kids,5+,3+
2098,1,0,1.0,0.0,1.0,0.0,0.0,15.0,0.0,0.0,0.0,682.4600000000004,79,13,395.1100000000001,6.54,94.06,0.0,103.69999999999999,27.520000000000003,0.0,33.62,2,0,0,2,Low-value,,,,,,,
2099,1,0,1.0,1.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,691.3000000000001,15,53,258.1799999999999,28.39,29.899999999999995,250.0,85.78,0.0,3.52,3.94,3,0,0,3,Low-value,,,,,,,
2100,1,1,4.0,3.0,1.0,0.0,15.0,69.0,15.0,3.75,0.22,3185.3099999999918,2,71,1775.540000000004,31.39,336.3500000000003,28.91,92.37000000000002,1.89,0.0,701.7600000000001,3,0,1,4,Mid-value,65+,A,35-49K,Homeowner,2 Adults No Kids,2,None/Unknown
2101,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,420.01999999999964,8,10,330.41999999999985,31.299999999999994,8.29,0.0,3.7800000000000002,0.0,0.0,9.73,3,0,0,3,Low-value,,,,,,,
2102,1,0,3.0,2.0,1.0,0.0,0.0,51.0,0.0,0.0,0.0,3619.759999999981,0,106,1485.3700000000042,60.01,312.78000000000014,0.0,449.2800000000001,42.14,0.0,735.7999999999997,3,0,1,4,Mid-value,55-64,A,175-199K,Homeowner,2 Adults No Kids,2,None/Unknown
2103,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,361.01000000000005,6,30,114.70000000000002,28.950000000000003,53.69000000000002,0.0,10.32,1.5,0.0,90.81,3,0,0,3,Low-value,,,,,,,
2104,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,494.5700000000001,82,29,247.88000000000008,23.509999999999998,40.419999999999995,31.0,106.0,2.99,0.0,20.42,2,0,0,2,Low-value,,,,,,,
2105,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,899.9200000000004,10,35,598.4800000000007,45.510000000000005,30.240000000000002,10.0,36.440000000000005,26.549999999999997,29.110000000000003,48.04,3,0,0,3,Low-value,,,,,,,
2106,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2807.0299999999916,219,52,1138.850000000001,108.18999999999998,296.52,165.57999999999998,485.75000000000034,9.48,29.0,149.81999999999996,1,0,1,2,Low-value,,,,,,,
2107,1,0,4.0,2.0,2.0,0.0,0.0,83.0,0.0,0.0,0.0,3409.0599999999863,14,87,1760.050000000003,318.13000000000017,562.9100000000007,0.0,138.01999999999998,16.74,19.11,319.38,3,0,1,4,Mid-value,35-44,A,75-99K,Homeowner,2 Adults Kids,5+,3+
2108,1,0,2.0,2.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,1830.9900000000061,3,131,918.8800000000001,53.36,156.61999999999992,20.0,232.78000000000006,0.0,0.0,267.61,3,1,0,4,Mid-value,,,,,,,
2109,1,0,4.0,3.0,1.0,0.0,0.0,63.0,0.0,0.0,0.0,2508.2400000000002,2,120,1238.0200000000002,26.89,37.6,0.0,125.95999999999998,0.0,0.0,51.32000000000001,3,1,1,5,Mid-value,,,,,,,
2110,1,0,11.0,4.0,7.0,0.0,0.0,173.0,0.0,0.0,0.0,12470.02999999983,7,222,3561.909999999984,516.2900000000004,2392.6799999999976,85.17,2642.9899999999902,968.4500000000007,11.93,363.37000000000006,3,1,3,7,High-value,35-44,A,125-149K,Homeowner,2 Adults No Kids,2,None/Unknown
2111,1,1,5.0,3.0,2.0,0.0,1.0,74.0,1.0,0.2,0.01,2590.37,24,123,1298.0200000000013,0.0,115.13999999999999,255.82,509.61000000000007,0.0,9.33,275.94999999999993,3,1,1,5,Mid-value,45-54,U,75-99K,Homeowner,2 Adults No Kids,2,None/Unknown
